Ensembl Gene ID	max
ENSG00000162543	12.63
ENSG00000228105	1.411
ENSG00000158816	4.203
ENSG00000226664	0.08706
ENSG00000236963	1.765
ENSG00000226487	0.1992
ENSG00000162545	345.0
ENSG00000090432	18.55
ENSG00000215520	0.112
ENSG00000183114	15.18
ENSG00000158825	48.17
ENSG00000158828	88.38
ENSG00000244038	125.9
ENSG00000117245	30.64
ENSG00000235432	0.0
ENSG00000189410	22.34
ENSG00000233069	13.18
ENSG00000127483	58.09
ENSG00000203394	72.17
ENSG00000075151	44.17
ENSG00000251914	0.0
ENSG00000221808	0.0
ENSG00000233072	0.1029
ENSG00000236073	0.0
ENSG00000235112	0.04871
ENSG00000266867	0.0
ENSG00000117298	65.36
ENSG00000236936	0.1795
ENSG00000231105	1.796
ENSG00000236216	0.3167
ENSG00000228823	0.1511
ENSG00000236009	0.02563
ENSG00000227001	3.367
ENSG00000187952	3.376
ENSG00000186543	0.04416
ENSG00000142794	7.408
ENSG00000176378	0.2018
ENSG00000162551	49.79
ENSG00000233431	0.2273
ENSG00000221781	0.0
ENSG00000076864	146.8
ENSG00000090686	29.78
ENSG00000231978	0.0
ENSG00000187942	2.532
ENSG00000142798	80.29
ENSG00000232037	0.04135
ENSG00000219073	8833.0
ENSG00000264385	0.36
ENSG00000263991	40.68
ENSG00000201919	11.94
ENSG00000142789	24050.0
ENSG00000263582	3.485
ENSG00000263929	73.43
ENSG00000201273	31.72
ENSG00000228397	0.9537
ENSG00000218510	34.64
ENSG00000070831	98.98
ENSG00000230068	0.1574
ENSG00000271428	0.305
ENSG00000271840	0.8859
ENSG00000162552	12.45
ENSG00000266564	0.0
ENSG00000234397	0.1498
ENSG00000184677	14.21
ENSG00000237200	0.8193
ENSG00000070886	2.12
ENSG00000173372	761.6
ENSG00000159189	655.8
ENSG00000173369	888.4
ENSG00000133216	8.677
ENSG00000265422	0.0
ENSG00000216157	0.0
ENSG00000225952	0.0
ENSG00000264014	0.0
ENSG00000272796	0.9662
ENSG00000215906	0.344
ENSG00000227868	58.66
ENSG00000004487	89.96
ENSG00000240553	3.554
ENSG00000263793	0.0
ENSG00000266802	0.0
ENSG00000169641	9.64
ENSG00000229010	0.05939
ENSG00000206935	0.0
ENSG00000252578	0.0
